Run,PostgreSQL(ms),openGauss(ms),File(ms)
1,21.00,9.00,15.00
2,4.00,4.00,10.00
3,3.00,6.00,10.00
4,3.00,5.00,7.00
5,3.00,5.00,12.00
6,3.00,4.00,11.00
7,3.00,4.00,10.00
8,3.00,4.00,7.00
9,3.00,4.00,8.00
10,3.00,5.00,8.00
Average,4.90,5.00,9.80
