Run,PostgreSQL(ms),openGauss(ms),File(ms)
1,31.21,12.86,12.98
2,2.83,3.58,6.28
3,2.45,3.23,7.75
4,2.54,3.49,10.84
5,2.69,3.55,11.84
6,2.21,3.25,6.10
7,3.06,3.21,4.89
8,2.28,3.33,3.61
9,2.30,3.48,3.53
10,2.59,3.31,3.20
Average,5.42,4.33,7.10
